date,location,sales,payment_method
2023-04-21,Barcelona,1747,bank transfer
2023-12-10,Berlin,616,voucher
2023-01-12,Dubai,472,bank transfer
2023-04-23,Rome,94,cash
2023-03-21,São Paulo,4245,bank transfer
2023-09-19,Dubai,3643,mobile payment
2023-10-27,Sydney,1316,voucher
2023-07-18,Tokyo,1864,cash
2023-11-01,Seoul,375,voucher
2023-01-20,Mumbai,1624,voucher
2023-11-29,Tokyo,996,voucher
2023-12-24,Seoul,3798,cryptocurrency
2023-08-05,Moscow,2123,credit card
2023-02-12,London,4941,credit card
2023-08-26,Rome,3605,mobile payment
2023-10-01,Moscow,3082,bank transfer
2023-01-25,Sydney,1841,cryptocurrency
2023-12-19,Paris,4860,cryptocurrency
2023-04-24,Istanbul,1637,mobile payment
2023-10-16,Mexico City,2844,bank transfer
2023-11-29,Seoul,407,voucher
2023-05-17,Bangkok,2852,voucher
2023-05-20,Paris,4201,mobile payment
2023-07-23,Moscow,1301,voucher
2023-12-16,Seoul,613,debit card
2023-01-06,Tokyo,2107,cryptocurrency
2023-02-15,Bangkok,2755,cash
2023-10-28,Cairo,362,cryptocurrency
2023-03-11,Berlin,1800,mobile payment
2023-07-25,Istanbul,1825,bank transfer
2023-10-27,Dubai,4619,debit card
2023-04-25,Paris,4863,mobile payment
2023-10-17,Istanbul,3748,cryptocurrency
2023-03-29,Dubai,3172,cash
2023-08-28,Seoul,1702,voucher
2023-08-15,Tokyo,4927,cash
2023-08-06,Cairo,2081,credit card
2023-04-24,Mumbai,805,cryptocurrency
2023-11-12,Dubai,3527,credit card
2023-05-09,Rome,276,cash
2023-03-05,Amsterdam,668,credit card
2023-09-01,Berlin,551,voucher
2023-06-26,Dubai,843,voucher
2023-12-25,Paris,4847,bank transfer
2023-04-09,Mexico City,2184,mobile payment
2023-12-26,Mexico City,1443,credit card
2023-02-21,Dubai,4401,mobile payment
2023-06-27,Istanbul,2557,cryptocurrency
2023-03-02,Tokyo,4078,credit card
2023-12-04,New York,740,voucher
2023-10-10,São Paulo,1845,cryptocurrency
2023-07-24,London,684,debit card
2023-05-04,Barcelona,4806,debit card
2023-12-16,Paris,4849,debit card
2023-02-23,Amsterdam,650,credit card
2023-02-05,New York,3808,credit card
2023-06-19,London,374,cryptocurrency
2023-03-20,London,3009,cryptocurrency
2023-05-03,Barcelona,781,cash
2023-05-20,São Paulo,4705,debit card
2023-12-14,Tokyo,2338,credit card
2023-06-01,Toronto,990,cryptocurrency
2023-06-12,Istanbul,3093,cryptocurrency
2023-10-04,Istanbul,4140,bank transfer
2023-12-05,Barcelona,4721,cash
2023-06-12,Mumbai,3849,cryptocurrency
2023-05-13,Barcelona,2284,cash
2023-11-03,Berlin,301,credit card
2023-05-07,Dubai,3178,credit card
2023-03-01,Rome,4724,debit card
2023-04-30,Moscow,2000,debit card
2023-11-10,Moscow,4236,cash
2023-10-26,Mumbai,862,mobile payment
2023-03-23,London,2169,debit card
2023-10-30,Sydney,3323,bank transfer
2023-07-24,Paris,4794,cash
2023-04-30,Seoul,1556,cryptocurrency
2023-12-14,Bangkok,446,debit card
2023-07-17,Mexico City,1431,cryptocurrency
2023-10-14,Barcelona,2957,bank transfer
2023-04-15,Amsterdam,2735,cash
2023-11-22,Sydney,3193,debit card
2023-01-02,Tokyo,1064,cryptocurrency
2023-08-14,Moscow,4063,cash
2023-11-05,London,442,cash
2023-07-03,Rome,3500,debit card
2023-04-23,Berlin,1076,cryptocurrency
2023-07-12,Mumbai,3789,bank transfer
2023-01-04,Tokyo,814,debit card
2023-11-24,Mexico City,3357,mobile payment
2023-04-01,Amsterdam,31,voucher
2023-12-11,Paris,4150,credit card
2023-01-30,Dubai,1144,cryptocurrency
2023-12-02,Cairo,3487,debit card
2023-05-23,Cairo,919,bank transfer
2023-01-04,Lagos,3746,cryptocurrency
2023-03-09,Cairo,4158,cryptocurrency
2023-05-11,London,2155,cash
2023-08-01,Tokyo,2264,credit card
2023-04-07,Istanbul,4188,bank transfer
2023-07-28,Barcelona,65,mobile payment
2023-07-03,São Paulo,4417,bank transfer
2023-12-24,Sydney,3053,mobile payment
2023-06-16,London,2997,voucher
2023-05-18,Paris,566,debit card
2023-08-12,Tokyo,2225,mobile payment
2023-07-01,Amsterdam,4261,cryptocurrency
2023-12-09,London,2900,debit card
2023-06-07,Bangkok,3357,bank transfer
2023-02-23,Istanbul,4317,cash
2023-06-16,São Paulo,3132,cash
2023-06-27,Berlin,4330,credit card
2023-10-10,Istanbul,3926,debit card
2023-05-20,Mexico City,288,bank transfer
2023-02-24,São Paulo,4646,credit card
2023-10-12,Cairo,365,debit card
2023-01-12,Bangkok,4844,cryptocurrency
2023-11-05,Berlin,205,cash
2023-03-20,Toronto,631,cash
2023-01-16,Cairo,4788,cash
2023-02-01,London,4705,debit card
2023-09-02,São Paulo,4685,mobile payment
2023-04-06,Dubai,4161,cash
2023-10-21,Moscow,43,bank transfer
2023-11-20,São Paulo,3024,debit card
2023-02-05,Dubai,2640,cash
2023-05-28,Tokyo,2824,credit card
2023-04-09,Istanbul,1085,voucher
2023-12-30,São Paulo,359,cryptocurrency
2023-12-11,Sydney,483,voucher
2023-10-27,Mexico City,378,voucher
2023-10-18,Bangkok,4516,mobile payment
2023-01-11,Barcelona,3250,debit card
2023-06-28,Barcelona,925,mobile payment
2023-03-25,Rome,872,voucher
2023-12-21,Seoul,4346,credit card
2023-10-06,Seoul,2145,debit card
2023-02-25,Rome,3169,cryptocurrency
2023-07-28,Sydney,2442,cryptocurrency
2023-07-29,Moscow,2136,mobile payment
2023-04-05,Barcelona,3426,cryptocurrency
2023-12-28,London,2214,debit card
2023-10-28,New York,3219,cash
2023-09-10,Rome,692,cash
2023-04-21,Sydney,1706,debit card
2023-06-28,Tokyo,1255,cash
2023-12-15,Rome,4688,bank transfer
2023-11-08,Toronto,2613,voucher
2023-08-08,Amsterdam,1083,credit card
2023-06-16,Rome,4590,cash
2023-05-20,Sydney,67,bank transfer
2023-11-03,Amsterdam,58,debit card
2023-12-19,Dubai,2419,credit card
2023-03-08,Mexico City,4807,debit card
2023-03-01,Seoul,4969,voucher
2023-12-26,Cairo,4204,bank transfer
2023-12-05,Bangkok,4771,bank transfer
2023-05-24,Mumbai,4765,cash
2023-10-22,Mumbai,2008,credit card
2023-07-19,Lagos,227,bank transfer
2023-04-17,Mumbai,621,bank transfer
2023-07-10,Rome,10,cash
2023-09-03,Amsterdam,1733,bank transfer
2023-02-25,Berlin,2472,mobile payment
2023-04-19,Rome,3953,cryptocurrency
2023-08-13,Cairo,3992,cryptocurrency
2023-07-08,Paris,3818,bank transfer
2023-02-17,Dubai,4220,cryptocurrency
2023-07-14,Toronto,3345,voucher
2023-01-24,Lagos,3969,credit card
2023-06-05,Mexico City,4755,mobile payment
2023-05-31,Seoul,3030,mobile payment
2023-12-04,São Paulo,1060,credit card
2023-08-22,Seoul,1391,debit card
2023-07-28,Cairo,4753,bank transfer
2023-08-20,Paris,109,cryptocurrency
2023-07-17,Rome,1957,cryptocurrency
2023-11-29,São Paulo,2582,voucher
2023-12-05,Sydney,4163,debit card
2023-01-08,São Paulo,1248,debit card
2023-12-05,Mumbai,4712,credit card
2023-01-18,Rome,517,debit card
2023-04-14,Mexico City,1472,voucher
2023-06-21,Berlin,4458,bank transfer
2023-02-13,Lagos,1521,credit card
2023-03-24,Amsterdam,782,debit card
2023-01-10,Sydney,2075,mobile payment
2023-05-26,Bangkok,3432,bank transfer
2023-12-28,New York,3115,cryptocurrency
2023-10-09,Barcelona,2598,mobile payment
2023-07-13,Bangkok,1168,debit card
2023-11-21,Sydney,2041,debit card
2023-12-17,Dubai,3445,bank transfer
2023-09-04,London,1689,bank transfer
2023-05-23,Seoul,3031,bank transfer
2023-06-18,Paris,3004,cash
2023-12-07,London,4837,debit card
2023-09-13,London,660,voucher
2023-07-29,Paris,1583,voucher
2023-04-16,Berlin,4763,mobile payment
2023-12-31,Istanbul,4165,voucher
2023-03-30,Amsterdam,2483,mobile payment
2023-08-28,Bangkok,1333,credit card
2023-02-02,Barcelona,2083,bank transfer
2023-06-02,Toronto,2451,cryptocurrency
2023-01-11,London,350,credit card
2023-06-29,Tokyo,4669,cash
2023-03-09,Lagos,3567,cash
2023-10-29,New York,1120,credit card
2023-11-26,Cairo,1445,credit card
2023-09-10,Cairo,3228,bank transfer
2023-11-18,Lagos,1053,debit card
2023-03-02,Toronto,134,bank transfer
2023-08-09,Mexico City,1894,credit card
2023-09-25,Cairo,2245,debit card
2023-12-05,Bangkok,1948,mobile payment
2023-09-12,London,3821,voucher
2023-10-13,Cairo,1062,mobile payment
2023-08-24,São Paulo,106,mobile payment
2023-04-29,Sydney,238,cash
2023-02-02,New York,4105,credit card
2023-06-10,Tokyo,391,bank transfer
2023-12-17,Mexico City,75,mobile payment
2023-07-08,Paris,3557,cash
2023-02-11,Toronto,1435,credit card
2023-01-12,Istanbul,1108,credit card
2023-11-28,Lagos,2748,cryptocurrency
2023-09-01,Bangkok,3882,cash
2023-04-15,Mexico City,3917,mobile payment
2023-10-26,Moscow,2063,credit card
2023-04-23,Tokyo,3169,cash
2023-11-05,Bangkok,1416,cash
2023-06-23,Toronto,665,bank transfer
2023-08-19,Berlin,1701,cash
2023-09-30,Bangkok,4223,cash
2023-08-03,Sydney,4736,voucher
2023-06-19,Moscow,1179,debit card
2023-08-14,New York,2238,mobile payment
2023-07-25,Paris,4181,debit card
2023-04-15,Seoul,1958,voucher
2023-12-09,Sydney,4977,cash
2023-09-20,Barcelona,3791,cash
2023-11-22,Cairo,2157,cryptocurrency
2023-02-17,Istanbul,4526,cryptocurrency
2023-11-30,Bangkok,4723,voucher
2023-05-11,Toronto,3865,voucher
2023-10-04,Cairo,4382,voucher
2023-11-06,Dubai,3286,bank transfer
2023-04-21,Cairo,1465,credit card
2023-10-13,Paris,4520,cash
2023-09-19,Tokyo,86,voucher
2023-12-04,Berlin,2710,voucher
2023-12-06,Paris,1798,bank transfer
2023-01-12,Toronto,4496,credit card
2023-02-14,Cairo,2229,voucher
2023-02-12,Dubai,4533,debit card
2023-08-16,Dubai,2655,debit card
2023-09-30,Sydney,419,mobile payment
2023-04-21,Seoul,4273,cash
2023-03-22,Seoul,1324,bank transfer
2023-06-28,Seoul,2163,credit card
2023-12-05,Moscow,1334,mobile payment
2023-10-22,São Paulo,3987,credit card
2023-02-24,Berlin,1298,voucher
2023-07-10,Mexico City,1790,debit card
2023-06-30,São Paulo,4248,debit card
2023-02-13,Lagos,1692,bank transfer
2023-10-05,Dubai,612,mobile payment
2023-10-30,Istanbul,180,debit card
2023-07-10,Amsterdam,4366,cash
2023-07-14,Berlin,450,cryptocurrency
2023-08-14,Cairo,4250,bank transfer
2023-08-18,Amsterdam,1604,cryptocurrency
2023-11-18,Toronto,2620,credit card
2023-01-25,Berlin,3733,mobile payment
2023-02-12,Tokyo,4434,cryptocurrency
2023-12-28,Lagos,2370,credit card
2023-02-12,Lagos,2050,bank transfer
2023-12-11,Mexico City,2188,debit card
2023-03-21,Moscow,3211,credit card
2023-10-12,Istanbul,4374,cash
2023-04-24,Toronto,1639,cash
2023-05-09,London,265,cryptocurrency
2023-03-12,Moscow,3967,bank transfer
2023-03-01,Sydney,4543,cash
2023-12-11,Amsterdam,4937,bank transfer
2023-11-16,Cairo,316,bank transfer
2023-03-06,Rome,1653,bank transfer
2023-06-09,Mumbai,3267,cash
2023-12-07,Lagos,2023,cash
2023-12-18,Amsterdam,3896,mobile payment
2023-08-25,Bangkok,3774,cash
2023-08-08,Mexico City,4017,cryptocurrency
2023-10-28,Paris,4834,bank transfer
2023-03-26,New York,428,bank transfer
2023-05-19,Bangkok,1485,mobile payment
2023-09-29,Rome,4391,voucher
2023-07-19,Toronto,2370,debit card
2023-08-01,Seoul,1068,cash
2023-06-20,Moscow,1958,cryptocurrency
2023-02-09,London,826,voucher
2023-08-03,Mumbai,3275,bank transfer
2023-05-03,Bangkok,1129,debit card
2023-12-17,Amsterdam,2190,voucher
2023-08-18,Paris,879,cryptocurrency
2023-08-28,Lagos,1505,bank transfer
2023-12-07,London,3955,credit card
2023-05-13,Tokyo,4795,cryptocurrency
2023-03-01,Istanbul,1881,cash
2023-05-10,Toronto,3073,mobile payment
2023-06-03,Mexico City,3149,cryptocurrency
2023-12-21,Tokyo,244,voucher
2023-04-29,Mumbai,2761,cryptocurrency
2023-11-02,Amsterdam,1261,cash
2023-09-05,Tokyo,3588,credit card
2023-02-01,Dubai,2820,debit card
2023-05-09,Amsterdam,3294,cash
2023-11-15,London,2671,credit card
2023-03-04,Istanbul,882,cash
2023-02-11,Sydney,1931,mobile payment
2023-05-13,Berlin,4728,credit card
2023-01-20,Rome,703,cryptocurrency
2023-04-24,Moscow,4746,voucher
2023-01-23,Tokyo,275,cryptocurrency
2023-06-19,Mumbai,346,voucher
2023-01-31,Sydney,237,cash
2023-10-15,São Paulo,4439,debit card
2023-09-22,Moscow,1947,cash
2023-10-06,Mexico City,2973,voucher
2023-08-03,Sydney,632,debit card
2023-11-10,Mumbai,4140,bank transfer
2023-03-16,Mumbai,428,cryptocurrency
2023-12-04,Cairo,1956,mobile payment
2023-08-15,Mexico City,4559,cash
2023-11-29,London,1122,mobile payment
2023-12-13,Rome,1766,mobile payment
2023-10-15,Rome,2667,bank transfer
2023-10-11,Cairo,1943,bank transfer
2023-11-11,Mumbai,138,credit card
2023-06-23,Rome,4763,bank transfer
2023-07-14,Dubai,4979,voucher
2023-06-02,Tokyo,343,credit card
2023-03-10,Mexico City,539,bank transfer
2023-05-25,Bangkok,279,cryptocurrency
2023-01-29,New York,1448,bank transfer
2023-12-04,Seoul,2069,cash
2023-12-23,Mumbai,4751,cash
2023-07-11,Lagos,4293,bank transfer
2023-10-20,New York,4702,credit card
2023-08-13,Berlin,2134,bank transfer
2023-04-13,Dubai,798,cash
2023-07-16,Lagos,1146,debit card
2023-11-20,Paris,1591,cryptocurrency
2023-01-17,Moscow,4616,credit card
2023-07-21,Moscow,2331,cryptocurrency
2023-05-23,Berlin,3717,bank transfer
2023-05-31,Sydney,2986,bank transfer
2023-08-24,Dubai,2018,voucher
2023-08-05,Mexico City,3476,cash
2023-12-09,Barcelona,3267,bank transfer
2023-02-20,Mumbai,941,cryptocurrency
2023-07-31,Berlin,2496,bank transfer
2023-09-28,Istanbul,1318,cryptocurrency
2023-04-09,Cairo,4194,debit card
2023-04-13,São Paulo,2240,mobile payment
2023-07-15,Berlin,3073,bank transfer
2023-10-27,Cairo,2317,voucher
2023-02-03,Bangkok,806,voucher
2023-03-31,Mumbai,1068,cash
2023-06-27,London,1233,debit card
2023-04-26,Dubai,2145,mobile payment
2023-02-10,Istanbul,4090,cryptocurrency
2023-04-17,Bangkok,2500,credit card
2023-01-07,Sydney,3443,credit card
2023-03-17,Moscow,847,debit card
2023-09-17,New York,4629,mobile payment
2023-07-09,Berlin,956,debit card
2023-08-05,Mumbai,1821,voucher
2023-09-07,Cairo,41,voucher
2023-01-17,Tokyo,241,mobile payment
2023-05-15,New York,3132,voucher
2023-10-13,Rome,3487,credit card
2023-05-01,New York,989,mobile payment
2023-08-04,Rome,1998,bank transfer
2023-05-01,Moscow,4076,credit card
2023-12-05,Cairo,2315,voucher
2023-08-01,Lagos,1525,cryptocurrency
2023-09-02,Amsterdam,2577,voucher
2023-06-08,Tokyo,3517,bank transfer
2023-05-30,Toronto,3914,debit card
2023-10-03,Mumbai,3263,credit card
2023-03-13,Berlin,4701,mobile payment
2023-08-14,Mumbai,1720,voucher
2023-07-01,London,4419,debit card
2023-08-03,Lagos,2471,credit card
2023-05-30,Tokyo,3575,cash
2023-04-24,Cairo,52,bank transfer
2023-03-06,São Paulo,213,credit card
2023-11-24,London,4235,cryptocurrency
2023-12-15,Sydney,2521,bank transfer
2023-04-30,Cairo,3513,voucher
2023-05-27,Bangkok,754,cryptocurrency
2023-07-21,São Paulo,2201,cryptocurrency
2023-04-06,Amsterdam,1153,credit card
2023-04-14,New York,4065,voucher
2023-12-24,Mumbai,3525,cryptocurrency
2023-08-04,Seoul,3581,cash
2023-02-14,New York,995,bank transfer
2023-02-08,Toronto,14,mobile payment
2023-01-21,Mexico City,2826,debit card
2023-11-21,Sydney,3524,cryptocurrency
2023-01-06,Seoul,4552,debit card
2023-09-06,Cairo,3513,cryptocurrency
2023-06-18,Bangkok,1529,credit card
2023-06-06,New York,3431,cash
2023-10-03,Bangkok,734,debit card
2023-04-05,Istanbul,426,voucher
2023-06-18,Barcelona,2733,bank transfer
2023-11-14,Seoul,2186,debit card
2023-06-09,Rome,773,cash
2023-01-13,Mumbai,2243,credit card
2023-03-29,Seoul,2950,cryptocurrency
2023-11-04,London,4921,cash
2023-10-25,London,3359,bank transfer
2023-07-17,Paris,1605,cryptocurrency
2023-03-25,Amsterdam,4362,mobile payment
2023-12-03,Tokyo,4772,voucher
2023-01-30,Mumbai,3327,cash
2023-02-02,Barcelona,3827,voucher
2023-03-19,Rome,2971,cryptocurrency
2023-06-22,São Paulo,2105,cryptocurrency
2023-07-26,Sydney,420,debit card
2023-11-09,Toronto,3654,mobile payment
2023-11-13,Cairo,2674,credit card
2023-09-19,Tokyo,3897,mobile payment
2023-06-27,Amsterdam,1926,voucher
2023-09-14,Moscow,2744,credit card
2023-11-08,Dubai,2461,debit card
2023-10-08,Amsterdam,828,credit card
2023-06-05,Dubai,779,cryptocurrency
2023-01-01,Lagos,3899,bank transfer
2023-12-28,Cairo,11,voucher
2023-07-07,Dubai,4091,debit card
2023-10-12,Mumbai,2396,cash
2023-02-13,Cairo,2155,voucher
2023-07-26,Berlin,4991,mobile payment
2023-04-29,Rome,4185,bank transfer
2023-03-24,Berlin,45,mobile payment
2023-02-02,Rome,2420,cryptocurrency
2023-01-26,Barcelona,1592,mobile payment
2023-11-09,Istanbul,1764,cryptocurrency
2023-10-03,Toronto,219,voucher
2023-11-26,New York,3135,cryptocurrency
2023-07-17,London,2746,bank transfer
2023-05-06,Istanbul,2033,credit card
2023-10-22,Rome,3502,voucher
2023-02-12,London,4504,credit card
2023-05-08,Amsterdam,965,credit card
2023-09-09,Amsterdam,1707,voucher
2023-01-10,São Paulo,1201,bank transfer
2023-06-14,Sydney,557,cryptocurrency
2023-10-08,Seoul,2770,voucher
2023-04-08,Mexico City,57,debit card
2023-10-30,Mumbai,1716,bank transfer
2023-09-19,Tokyo,4255,mobile payment
2023-01-01,Moscow,467,voucher
2023-10-24,Amsterdam,14,voucher
2023-06-04,Sydney,4982,cash
2023-07-16,Barcelona,1992,mobile payment
2023-09-23,Istanbul,4180,bank transfer
2023-01-17,Barcelona,4463,cryptocurrency
2023-07-10,Dubai,1998,cryptocurrency
2023-06-27,New York,2449,bank transfer
2023-01-15,Istanbul,1147,cash
2023-06-09,Mexico City,4195,debit card
2023-07-25,Lagos,1293,voucher
2023-03-07,Mumbai,2097,cryptocurrency
2023-07-20,Moscow,601,cryptocurrency
2023-04-06,Bangkok,4808,mobile payment
2023-05-14,Moscow,2457,mobile payment
2023-07-10,Dubai,3136,bank transfer
2023-07-22,London,279,debit card
2023-12-11,Amsterdam,2816,bank transfer
2023-11-11,Rome,2736,debit card
2023-10-02,Istanbul,1979,debit card
2023-07-05,Amsterdam,4451,cash
2023-05-02,New York,1498,cryptocurrency
2023-06-02,Barcelona,4186,voucher
2023-09-25,Sydney,1195,cash
2023-03-04,Cairo,4883,credit card
2023-06-04,São Paulo,4663,mobile payment
2023-08-04,Dubai,4496,mobile payment
2023-11-25,Seoul,1656,debit card
2023-03-21,Berlin,3001,debit card
2023-10-30,Paris,173,cryptocurrency
2023-12-08,Sydney,722,bank transfer
2023-08-13,Sydney,1019,cash
2023-09-24,Bangkok,4814,credit card
2023-05-11,São Paulo,65,voucher
2023-07-19,Tokyo,1801,cash
2023-07-23,Bangkok,2271,cash
2023-05-11,Rome,846,cash
2023-05-23,Mumbai,3957,mobile payment
2023-02-25,London,4129,voucher
2023-03-13,New York,3419,cryptocurrency
2023-03-17,Mumbai,1787,mobile payment
2023-06-19,Mexico City,4673,credit card
2023-06-07,São Paulo,2863,debit card
2023-11-24,Paris,4088,cash
2023-08-18,Mumbai,2006,cryptocurrency
2023-05-02,Mumbai,2052,voucher
2023-07-30,Mumbai,335,credit card
2023-08-31,New York,3657,credit card
2023-04-07,Berlin,3014,cash
2023-04-18,Moscow,3206,mobile payment
2023-03-04,Mexico City,586,cryptocurrency
2023-01-02,Rome,728,cash
2023-11-14,Lagos,3029,voucher
2023-04-11,Moscow,4705,mobile payment
2023-08-13,Sydney,3464,bank transfer
2023-01-21,Mexico City,350,bank transfer
2023-11-13,Amsterdam,2901,bank transfer
2023-03-03,Rome,4802,credit card
2023-07-20,Mexico City,4671,debit card
2023-01-03,Moscow,814,cryptocurrency
2023-02-13,Istanbul,111,voucher
2023-12-09,Cairo,2708,mobile payment
2023-02-26,Toronto,645,cryptocurrency
2023-04-21,Lagos,225,credit card
2023-09-23,Tokyo,2313,credit card
2023-03-03,Cairo,1417,cash
2023-05-31,Berlin,503,credit card
2023-10-06,Mexico City,3765,cryptocurrency
2023-07-30,Rome,4723,cryptocurrency
2023-10-23,Bangkok,1389,cryptocurrency
2023-07-21,Tokyo,3711,bank transfer
2023-11-07,Sydney,2984,bank transfer
2023-07-15,Istanbul,424,cryptocurrency
2023-04-14,Rome,3150,cash
2023-10-30,Moscow,1699,cash
2023-02-17,Barcelona,57,debit card
2023-01-20,Rome,257,credit card
2023-08-09,Dubai,3334,bank transfer
2023-04-12,Seoul,3735,voucher
2023-02-07,Amsterdam,3401,bank transfer
2023-04-15,Toronto,2288,bank transfer
2023-07-09,Seoul,739,cryptocurrency
2023-01-04,Sydney,3319,mobile payment
2023-03-30,London,2250,cash
2023-02-25,Amsterdam,3078,bank transfer
2023-02-15,Barcelona,2423,cryptocurrency
2023-07-26,Seoul,4851,mobile payment
2023-05-08,Istanbul,2642,bank transfer
2023-12-29,New York,959,bank transfer
2023-03-21,Barcelona,866,cryptocurrency
2023-06-20,São Paulo,1908,voucher
2023-11-08,Mexico City,4124,cash
2023-04-11,Sydney,719,credit card
2023-10-12,Amsterdam,4106,credit card
2023-07-07,Istanbul,336,cryptocurrency
2023-03-12,Moscow,1824,voucher
2023-11-06,Sydney,3737,cryptocurrency
2023-01-12,Sydney,2052,debit card
2023-02-04,New York,4285,cash
2023-08-08,London,4371,credit card
2023-01-08,Amsterdam,2691,credit card
2023-09-23,Cairo,4839,credit card
2023-08-24,Berlin,4088,cash
2023-04-14,Istanbul,600,voucher
2023-09-23,Bangkok,2409,mobile payment
2023-07-09,Bangkok,3194,cash
2023-09-28,Lagos,3127,cryptocurrency
2023-06-11,Mexico City,874,mobile payment
2023-03-03,Lagos,1531,voucher
2023-09-10,Sydney,3459,cash
2023-11-07,Bangkok,2995,credit card
2023-08-01,São Paulo,2431,bank transfer
